tweet_url,author_name,author_id,text,created_at,reply_to,retweet_from,like_count,reply_count,retweet_count,photo,video,link
https://x.com/Toyota/status/8512269431,Toyota USA,@Toyota,"@BerryLowman since 2004, we have had a teen driving education program in select markets for free. #lentz",2010-02-01T20:21:57.000Z,@BerryLowman,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512299341,Toyota USA,@Toyota,"Thanks for joining us today. For more information about the recalls, visit www.toyota.com/recall. #lentz",2010-02-01T20:22:52.000Z,,,1,0,6,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8512432876,Toyota USA,@Toyota,Thanks to all who had questions for TMS President Jim Lentz today! We appreciate the interaction. ^SD,2010-02-01T20:26:59.000Z,,,0,0,3,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512486516,Toyota USA,@Toyota,Thanks everyone for the great questions! ^DM,2010-02-01T20:28:38.000Z,,,0,0,3,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8552624404,Toyota USA,@Toyota,Thanks for the support Michael! RT@mw55 http://bit.ly/dbuzsY,2010-02-02T18:28:51.000Z,,,0,0,2,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8568559909,Toyota USA,@Toyota,“I believe they found the right solution.  If Toyota says it’s not electrical….” @stevewoz on CNN’s Situation Room http://bit.ly/cXuDYv,2010-02-03T01:52:18.000Z,,,0,0,2,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8568706643,Toyota USA,@Toyota,"""I have a lot of prestigious cars but I prefer since ‘04 to drive my Priuses. I mean I luv this car."" @stevewoz on CNN http://bit.ly/cXuDYv",2010-02-03T01:56:05.000Z,,,0,0,3,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8596057366,Toyota USA,@Toyota,Ray LaHood says he misspoke when he said owners of recalled Toyota vehicles stop driving them. http://bit.ly/aCniq1,2010-02-03T17:33:43.000Z,,,0,0,14,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8596402075,Toyota USA,@Toyota,Bloomberg: Lahood Says Earlier Comment on Toyota Was ‘Misstatement’ http://bit.ly/9zhHj2,2010-02-03T17:43:54.000Z,,,0,0,2,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8596503936,Toyota USA,@Toyota,"Fox News: LaHood Says Stop Driving Toyotas, DOT Says He Didn't Mean It http://bit.ly/9JoaQi",2010-02-03T17:46:54.000Z,,,0,0,6,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8596589409,Toyota USA,@Toyota,@tbirdtiff thanks!,2010-02-03T17:49:27.000Z,@tbirdtiff,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8596639138,Toyota USA,@Toyota,@annrafalko Read the info on the site www.toyota.com/recall. It advises owners.,2010-02-03T17:50:55.000Z,,,0,0,2,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8596943832,Toyota USA,@Toyota,"Toyota Statement on comments by Trans Secretary LaHood on Feb. 3, 2010 http://bit.ly/9WBwrY #toyotas",2010-02-03T18:00:04.000Z,,,1,0,24,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8613713171,Toyota USA,@Toyota,Updated Customer FAQs Regarding the Sticking Accelerator Pedal and Floor Mat Pedal Entrapment Recalls http://bit.ly/aNxWLB,2010-02-04T01:59:15.000Z,,,3,0,11,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8640147246,Toyota USA,@Toyota,Statement From Toyota Regarding Prius Brake Issue http://bit.ly/bVcAH3,2010-02-04T17:19:34.000Z,,,1,0,9,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8644529123,Toyota USA,@Toyota,Updated Statement From Toyota Regarding Prius Brake Issue http://bit.ly/bZEmWd,2010-02-04T19:30:23.000Z,,,2,0,13,FALSE,FALSE,TRUE
